Stofgroep	Stofnaam	CAS-nummer	Afdeling	Branche	Subbranche	Compartiment	Emissiestatus	
ZZS PFAS	N-methylperfluorooctaan-sulfonamidoazijnzuur	2355-31-9	3.7 Dienstverlening, onderwijs en zorg	3.7.10 Voorziening voor het oefenen van brandbestrijdingstechnieken		Water	Emissie mogelijk
ZZS PFAS	kalium 1,1,2,2,3,3,4,4,4-nonafluorbutaan-1-sulfonaat	29420-49-3	3.7 Dienstverlening, onderwijs en zorg	3.7.10 Voorziening voor het oefenen van brandbestrijdingstechnieken		Water	Emissie mogelijk
ZZS PFAS	tetrabutylfosfonium perfluorbutaansulfonaat	220689-12-3	3.7 Dienstverlening, onderwijs en zorg	3.7.10 Voorziening voor het oefenen van brandbestrijdingstechnieken		Water	Emissie mogelijk
ZZS PFAS	trifenylsulfonium perfluorbutaansulfonaat	144317-44-2	3.7 Dienstverlening, onderwijs en zorg	3.7.10 Voorziening voor het oefenen van brandbestrijdingstechnieken		Water	Emissie mogelijk
ZZS PFAS	dimethyl(fenyl)sulfonium perfluorbutaansulfonaat	220133-51-7	3.7 Dienstverlening, onderwijs en zorg	3.7.10 Voorziening voor het oefenen van brandbestrijdingstechnieken		Water	Emissie mogelijk
ZZS PFAS	bis(4-t-butylfenyl) iodonium perfluorbutaansulfonaat		3.7 Dienstverlening, onderwijs en zorg	3.7.10 Voorziening voor het oefenen van brandbestrijdingstechnieken		Water	Emissie mogelijk
ZZS PFAS	ammonium perfluorbutaansulfonaat	68259-10-9	3.7 Dienstverlening, onderwijs en zorg	3.7.10 Voorziening voor het oefenen van brandbestrijdingstechnieken		Water	Emissie mogelijk
ZZS PFAS	lithium perfluorbutaansulfonaat	131651-65-5	3.7 Dienstverlening, onderwijs en zorg	3.7.10 Voorziening voor het oefenen van brandbestrijdingstechnieken		Water	Emissie mogelijk
ZZS PFAS	magnesium perfluorbutaansulfonaat	507453-86-3	3.7 Dienstverlening, onderwijs en zorg	3.7.10 Voorziening voor het oefenen van brandbestrijdingstechnieken		Water	Emissie mogelijk
ZZS PFAS	morfolinium perfluorbutaansulfonaat	503155-89-3	3.7 Dienstverlening, onderwijs en zorg	3.7.10 Voorziening voor het oefenen van brandbestrijdingstechnieken		Water	Emissie mogelijk
ZZS PFAS	1-(4-butoxy-1-naftalenyl)tetrahydrothiofenium 1,1,2,2,3,3,4,4,4-nonafluor-1-butaansulfonaat		3.7 Dienstverlening, onderwijs en zorg	3.7.10 Voorziening voor het oefenen van brandbestrijdingstechnieken		Water	Emissie mogelijk
ZZS PFAS	tetraethylammonium heptadecafluoroctaansulfonzuur	56773-42-3	3.7 Dienstverlening, onderwijs en zorg	3.7.10 Voorziening voor het oefenen van brandbestrijdingstechnieken		Water	Emissie mogelijk
ZZS PFAS	1-decanaminium, N-decyl-N,N-dimethyl-, zout met 1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-heptadecafluor-1-octaansulfonzuur (1:1)	251099-16-8	3.7 Dienstverlening, onderwijs en zorg	3.7.10 Voorziening voor het oefenen van brandbestrijdingstechnieken		Water	Emissie mogelijk
ZZS PFAS	N-ethylheptadecafluor-N-(2-hydroxyethyl)octaansulfonamide 	1691-99-2	3.7 Dienstverlening, onderwijs en zorg	3.7.10 Voorziening voor het oefenen van brandbestrijdingstechnieken		Water	Emissie mogelijk
ZZS PFAS	heptadecafluor-N-(2-hydroxyethyl)-N-methyloctaansulfonamide	24448-09-7	3.7 Dienstverlening, onderwijs en zorg	3.7.10 Voorziening voor het oefenen van brandbestrijdingstechnieken		Water	Emissie mogelijk
ZZS PFAS	heptadecafluoroctaansulfonyl fluoride	307-35-7	3.7 Dienstverlening, onderwijs en zorg	3.7.10 Voorziening voor het oefenen van brandbestrijdingstechnieken		Water	Emissie mogelijk
ZZS PFAS	kalium perfluorhexaan-1-sulfonaat	3871-99-6	3.7 Dienstverlening, onderwijs en zorg	3.7.10 Voorziening voor het oefenen van brandbestrijdingstechnieken		Water	Emissie mogelijk
ZZS PFAS	tridecafluorhexaansulfonzuur, neodymium(3+) zout (3:1) 	41184-65-0	3.7 Dienstverlening, onderwijs en zorg	3.7.10 Voorziening voor het oefenen van brandbestrijdingstechnieken		Water	Emissie mogelijk
ZZS PFAS	tridecafluorhexaansulfonzuur, yttrium(3+) zout (3:1)	41242-12-0	3.7 Dienstverlening, onderwijs en zorg	3.7.10 Voorziening voor het oefenen van brandbestrijdingstechnieken		Water	Emissie mogelijk
ZZS PFAS	tridecafluorhexaansulfonzuur, lithiumzout (1:1)	55120-77-9	3.7 Dienstverlening, onderwijs en zorg	3.7.10 Voorziening voor het oefenen van brandbestrijdingstechnieken		Water	Emissie mogelijk
ZZS PFAS	ammonium perfluorhexaan-1-sulfonaat	68259-08-5	3.7 Dienstverlening, onderwijs en zorg	3.7.10 Voorziening voor het oefenen van brandbestrijdingstechnieken		Water	Emissie mogelijk
ZZS PFAS	tridecafluorhexaansulfonzuur, zinkzout	70136-72-0	3.7 Dienstverlening, onderwijs en zorg	3.7.10 Voorziening voor het oefenen van brandbestrijdingstechnieken		Water	Emissie mogelijk
ZZS PFAS	tridecafluorhexaansulfonzuur, verbinding met 2,2'-iminodiethanol (1:1)	70225-16-0	3.7 Dienstverlening, onderwijs en zorg	3.7.10 Voorziening voor het oefenen van brandbestrijdingstechnieken		Water	Emissie mogelijk
ZZS PFAS	tridecafluorhexaansulfonzuur, verbinding met N,N-diethylethanamine (1:1)	72033-41-1	3.7 Dienstverlening, onderwijs en zorg	3.7.10 Voorziening voor het oefenen van brandbestrijdingstechnieken		Water	Emissie mogelijk
